village_id,date,turbidity,pH,temperature,conductivity,tds,chloramines,sulfate,rainfall_7d,flow,water_unsafe
V018,2024-12-16,4.8828498867001,8.15290165461598,26.374452670834955,958.0180204341638,157.14922176939865,2.2280082425885777,498.8742228721946,138.09686837492896,0.07635593145131736,1
V018,2025-10-20,6.826537881770158,7.913143719996618,25.58667461218273,206.06233918837322,333.28678593962275,0.6409474887724381,143.38176018869632,172.3823574410582,44.744662503429566,1
V001,2025-01-15,14.418262629311421,7.470047462398041,15.998185853974814,269.2827458191475,215.9373148582681,3.1643501094315036,236.7069113610775,79.13081998395238,31.676639117816325,1
V010,2025-07-09,14.938370832538604,6.978327860569374,30.61879265001281,760.3263121248772,280.1912914050938,4.754580125981896,396.22243181895413,53.9457088529028,4.173893176843806,1
V016,2025-09-22,3.5816135151673185,8.715847883417977,33.46256177306618,388.3994998685627,400.1331462673128,0.013784199974163358,99.18394633274703,195.72561715716446,18.135343514688675,1
V002,2025-05-10,3.269346005720883,7.592192676827791,22.012441578391186,122.08738142501839,588.5402533289594,4.9028911556725,143.91647625209828,148.47969651615628,34.889156717185664,1
V012,2025-02-14,14.032457786911863,7.517875386313026,33.09073045801659,1490.0440113751854,338.49163805244933,4.545185487876534,91.56894464990049,109.27229926560777,48.515928300504655,1
V012,2025-05-31,2.9909546976035664,7.23123658966096,26.000920498890437,537.4151576796623,389.4006418118563,0.5780261220716315,349.6904520564629,106.6952962863431,8.475535593590024,1
V020,2024-09-09,3.6956931122502974,6.650879274058446,23.803459645281748,1274.1946295436844,700.1562658895223,2.1457014522842304,199.22488741110908,95.17367026302445,50.658147169088274,1
V010,2025-02-17,7.54882069915107,7.232889802995565,20.717300370703395,734.6621648182216,514.8355787792557,1.268841039195342,368.9642059338558,76.40249886467716,53.44537146264307,1
V018,2024-12-25,14.899517044144092,8.693439523046644,16.394172827453115,247.17727062691014,615.8957688150922,3.764824019098799,486.6108454640201,242.3851212670347,48.375264996151316,1
V016,2025-02-03,5.29408701133816,7.121941702773262,15.438250416444578,1115.514071959265,262.775484799285,2.191889025899418,58.97170787728126,64.2989003920431,0.9220482193681168,1
V015,2024-08-07,3.902375834537355,6.73717987226159,27.777521289713576,706.1666218299546,530.1891246818562,2.3881921353848896,185.8797043078966,13.816155642254135,6.828068640850605,1
V004,2025-10-27,4.971140312106159,6.1008107953820625,34.30280345825513,973.7409093000716,626.5728042158864,2.6359441997781,387.4399624011265,84.53794651505316,10.847916580651976,1
V018,2024-02-22,3.597314799690511,7.952991554471284,19.36830352445709,718.1125650458275,691.8208035146207,4.388519904624669,179.10638293740675,188.04914534444336,15.936329170215096,1
V017,2025-03-08,9.382555978089792,6.97779699432099,30.268451130685033,325.806826793423,937.8415211977244,1.9826729931483107,474.96258405859146,85.09449685023974,3.49680706073904,1
V006,2024-07-05,6.943721285344489,6.689823981787113,32.97080377129143,221.21814414756426,709.2895259755675,0.37932746479282575,112.21986445614874,195.64605689865715,46.58994814942359,1
V001,2025-04-21,7.039823398100082,6.820403538133475,22.352986533423312,1048.165828839483,893.056985386132,0.07726693021329778,194.5356911404583,211.57148514368194,21.308391330304946,1
V017,2024-09-25,2.568311089976721,6.191844534371938,29.7276998264975,167.516985379448,875.1378532298647,3.151074911120903,368.3610055928883,246.66554778906996,56.30127731224648,1
V002,2024-06-07,6.862249050714678,6.721767728252029,30.479587789251198,768.3900341909737,279.12337273973117,0.08648558982757293,72.92217133130733,44.967793171067484,49.29869247535711,1
V009,2025-10-28,7.3169291376605265,8.146842943337212,32.618719208512424,969.1676627601972,447.8819681160131,4.340522321794184,318.72167062470004,40.97358098765689,4.772326711377439,1
V015,2025-07-28,2.154760096202376,8.339713266857547,27.852305450095717,171.51262343610745,922.508690582083,2.9009482508295332,145.2329957065145,5.317951819301536,44.38683687349468,1
V004,2024-06-12,2.9824866281126035,6.971961895920071,33.56426704587594,1099.0412075656066,244.0407860835751,4.422406123524109,294.5327848060814,52.166362945379475,4.2932442384969605,1
V004,2024-08-06,13.154627090698172,7.948214999466036,18.939349455424612,1236.5880310848408,670.1347056266003,4.120672147998804,260.679681874422,52.383464656916786,3.5069411915823445,1
V009,2024-09-28,11.242128610051077,6.424732671441214,25.75749359425295,164.11424147005704,926.494525041947,0.8426772949691402,74.78595475960033,153.76114928872954,17.458545754076226,1
